No,Series ID,User Email,Date,Status 
1,3556,tamberradigital+1@gmail.com,2019-06-11 05:37:41,deactive
2,3556,tamberradigital+41@gmail.com,2019-06-10 05:58:16,deactive
3,3556,antonio@tamberra.com,2019-11-02 06:59:05,active
4,9317,karanoreika+888@gmail.com,2019-12-31 15:15:34,active
5,13881,karanoreika+888@gmail.com,2019-12-31 15:15:44,active
6,13895,karanoreika+888@gmail.com,2019-12-31 15:15:49,active
7,3556,karanoreika+888@gmail.com,2020-01-06 17:46:24,active
8,13921,karanoreika+888@gmail.com,2020-01-06 02:46:03,active
9,14405,karanoreika+888@gmail.com,2020-01-06 02:46:05,active
10,14515,karanoreika+888@gmail.com,2020-01-06 02:46:06,active
11,14657,karanoreika+888@gmail.com,2020-01-06 02:46:17,active
12,14590,karanoreika+888@gmail.com,2020-01-06 02:46:18,active
13,14668,karanoreika+888@gmail.com,2020-01-06 02:46:20,active
14,14691,karanoreika+888@gmail.com,2020-01-06 02:46:21,active
15,15528,karanoreika+888@gmail.com,2020-01-06 02:46:22,active
16,15353,karanoreika+888@gmail.com,2020-01-06 02:46:23,active
17,16090,karanoreika+888@gmail.com,2020-01-06 02:46:25,active
18,17452,karanoreika+888@gmail.com,2020-01-06 02:46:26,active
19,15977,karanoreika+888@gmail.com,2020-01-06 02:46:27,active
20,125708,karanoreika+888@gmail.com,2020-01-06 02:46:41,active
21,127159,karanoreika+888@gmail.com,2020-01-06 02:46:43,active
22,127401,karanoreika+888@gmail.com,2020-01-06 02:46:44,active
23,129150,karanoreika+888@gmail.com,2020-01-06 02:46:54,active
24,129596,karanoreika+888@gmail.com,2020-01-06 02:46:55,active
25,129424,karanoreika+888@gmail.com,2020-01-06 02:46:57,active
26,130091,karanoreika+888@gmail.com,2020-01-06 02:46:58,active
27,130099,karanoreika+888@gmail.com,2020-01-06 02:46:59,active
28,130018,karanoreika+888@gmail.com,2020-01-06 02:47:01,active
29,129951,karanoreika+888@gmail.com,2020-01-06 02:47:02,active
